,Island,P.locat,NP,GP,BFj,BUj,lon,lat,site,LCC,,site2
115,Palau,patch,10.42526591,10.36851542,0.000251827,0,134.38791,7.37262,20,771,,134.38791
117,Palau,patch,14.27087314,14.21571133,0.001840509,0,134.38791,7.37262,20,748,,134.38791
104,Palau,patch,2.56034805,2.521212893,0.017867157,0,134.40385,7.354483,18,381,,134.40385
103,Palau,patch,3.668583862,3.620823827,0.00924228,0,134.40385,7.354483,18,527,,134.40385
105,Palau,patch,3.977846065,3.921999084,0.001155334,0,134.40385,7.354483,18,584,,134.40385
106,Palau,patch,5.611115907,5.563994606,0.009881014,0,134.40385,7.354483,18,484,,134.40385
107,Palau,patch,11.13103853,11.08462738,0.010591171,0,134.40385,7.354483,18,710,,134.40385
108,Palau,patch,11.21960044,11.1644112,0.001813074,0,134.40385,7.354483,18,733,,134.40385
129,Palau,patch,12.70546682,12.65767672,0.009212211,0,134.41609,7.24448,22,372,,134.41609
127,Palau,patch,14.50076234,14.44376002,0,0,134.41609,7.24448,22,531,,134.41609
131,Palau,patch,19.71672654,19.66129049,0.001566261,0,134.41609,7.24448,22,555,,134.41609
128,Palau,patch,21.25178313,21.19924045,0.004459637,0,134.41609,7.24448,22,692,,134.41609
130,Palau,patch,21.49827525,21.44902217,0.00774923,0,134.41609,7.24448,22,564,,134.41609
132,Palau,patch,23.85420053,23.81361397,0.016415761,0,134.41609,7.24448,22,809,,134.41609
99,Palau,patch,11.2814985,11.22471615,0.00021996,0,134.41768,7.48521,17,439,,134.41768
98,Palau,patch,11.91794163,11.86124979,0.000310471,0,134.41768,7.48521,17,533,,134.41768
100,Palau,patch,13.91586536,13.86285894,0.003995897,0,134.41768,7.48521,17,640,,134.41768
101,Palau,patch,14.56301178,14.50643137,0.000421906,0,134.41768,7.48521,17,710,,134.41768
97,Palau,patch,16.33404671,16.27967423,0.002629836,0,134.41768,7.48521,17,746,,134.41768
102,Palau,patch,17.41625184,17.36135131,0.002101783,0,134.41768,7.48521,17,490,,134.41768
